Name,Type,Country,Code,Latitude,Longitude,Radius
Abu Dhabi,Emirate,United Arab Emirates,AE,24.080806015787974,53.24024844470273,177
Abu Dhabi,Emirate,United Arab Emirates,AE,24.080806015787974,54.28327679333463,177
Ajman,Emirate,United Arab Emirates,AE,25.381526801924508,55.670226195558826,25
Ajman,Emirate,United Arab Emirates,AE,25.381526801924508,55.759911438718646,25
Dubay,Emirate,United Arab Emirates,AE,24.952119889394595,55.40288799569671,40
Dubay,Emirate,United Arab Emirates,AE,24.952119889394595,55.79769260122716,40
Fujayrah,Emirate,United Arab Emirates,AE,25.079327355512035,56.16936508623165,25
Fujayrah,Emirate,United Arab Emirates,AE,25.433264486444706,56.169959885500084,25
Neutral Zone,Emirate,United Arab Emirates,AE,24.75473845093838,55.741055353409536,25
Neutral Zone,Emirate,United Arab Emirates,AE,24.75473845093838,55.85839380430539,25
Ras Al Khaymah,Emirate,United Arab Emirates,AE,25.063781980418597,56.01254467947269,27
Ras Al Khaymah,Emirate,United Arab Emirates,AE,25.551240539223457,56.013606685556226,27
Ras Al Khaymah,Emirate,United Arab Emirates,AE,25.83489303089026,56.014237487588105,27
Sharjah,Emirate,United Arab Emirates,AE,25.09910215630121,55.79006435246558,46
Sharjah,Emirate,United Arab Emirates,AE,25.09910215630121,55.925767404126425,46
Umm Al Qaywayn,Emirate,United Arab Emirates,AE,25.466871961535542,55.72182540007345,25
